"date","time_start","time_end","kind","room","topic"
"2017-06-29","07:30","08:30","registration","Quad",
"2017-06-29","08:30","09:30","plenary","REA","welcome, introductions"
"2017-06-29","09:30","10:30","plenary","REA","Keynote: Stephen Mather"
"2017-06-29","10:30","11:00","tea","REA",
"2017-06-29","11:00","11:30","talk","REA",
"2017-06-29","11:00","11:30","talk","Room1",
"2017-06-29","11:30","12:00","talk","REA",
"2017-06-29","11:30","12:00","talk","Room1",
"2017-06-29","12:00","12:30","talk","REA",
"2017-06-29","12:00","12:30","talk","Room1",
"2017-06-29","12:30","13:30","lunch","Darragh",
"2017-06-29","13:30","17:00","workshop","Lab1",
"2017-06-29","13:30","17:00","workshop","Lab2",
"2017-06-29","13:30","17:00","workshop","Lab3",
"2017-06-29","13:30","17:00","workshop","REA",
"2017-06-29","17:00","18:00","meetings","various","interest group meetings"
"2017-06-30","07:30","08:30","registration","Quad",
"2017-06-30","08:30","09:30","plenary","REA","welcome, introductions"
"2017-06-30","09:30","10:30","plenary","REA","keynote"
"2017-06-30","10:30","11:00","tea","REA",
"2017-06-30","11:00","11:30","talk","REA",
"2017-06-30","11:00","11:30","talk","Room1",
"2017-06-30","11:30","12:00","talk","REA",
"2017-06-30","11:30","12:00","talk","Room1",
"2017-06-30","12:00","12:30","talk","REA",
"2017-06-30","12:00","12:30","talk","Room1",
"2017-06-30","12:30","13:30","lunch","Darragh",
"2017-06-30","13:30","17:00","workshop","Lab1",
"2017-06-30","13:30","17:00","workshop","Lab2",
"2017-06-30","13:30","17:00","workshop","Lab3",
"2017-06-30","13:30","17:00","workshop","REA",
"2017-06-30","17:00","18:00","meetings","various","interest group meetings"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"2017-06-27","09:00","16:45","seminar","Jeffrey","SASDI"
