"date","time_start","time_end","kind","room","topic"
"06/28/2017","07:30","08:30","registration","Quad",
"06/28/2017","08:30","09:30","plenary","REA","lightning talks"
"06/28/2017","09:30","09:45","plenary","REA","Tangible Landscape"
"06/28/2017","09:45","10:15","plenary","REA","Keynote: Jeff McKenna"
"06/28/2017","10:15","10:45","tea","REA",
"06/28/2017","10:45","11:30","plenary","REA","Keynote: Malcolm McInerney"
"06/28/2017","11:30","12:00","plenary","REA","Panel discussion: How can industry help education?"
"06/28/2017","12:00","12:30","talk","REA","Brandon - using FOSS in the classroom"
"06/28/2017","12:00","12:30","talk","Room1","GISSA + GIS Olympiad – Bridget"
"06/28/2017","12:30","13:30","lunch","Darragh",
"06/28/2017","13:30","15:00","workshop","Lab1","Malcolm McInerney Lab 2"
"06/28/2017","13:30","15:00","workshop","REA","??? OSM mapping 2: Tukkies, Victoria Rautenbach"
"06/28/2017","15:00","15:30","tea","REA",
"06/28/2017","15:30","16:00","plenary","REA","Panel discussion: What skills does industry need today? coming out of school and university?"
"06/28/2017","16:00","17:00","plenary","REA","GIS olympiad, map competition"
"06/28/2017","17:00","18:00","meetings","various","interest group meetings"
